日期,广告形式,产品,展现量,点击量,点击率,总加购数,转化率,ROI,总订单行,总订单金额,总费用,是否为钻展广告,是否为超级推荐广告,是否为直通车广告,是否为品销宝广告,点击率/转化率,销售额/ROI,点击量/展现量,加购数/点击量,订单数/加购数
2020-11-01,钻展,nan,188875,5332,2.8230311052283255,156,1.350337584396099,4.129289027308338,72,64867.649999999994,15709.157090000002,1,0,0,0,2.0906113684829766,15709.157090000004,0.028230311052283255,0.029257314328582147,2.1666666666666665
2020-11-02,钻展,nan,176138,4357,2.4736286320952887,100,0.6655955932981409,2.2868533196532956,29,27849.16,12177.9389,1,0,0,0,3.716413775875577,12177.9389,0.02473628632095289,0.022951572182694516,3.4482758620689653
2020-11-03,钻展,nan,125159,3214,2.5679335884754595,45,0.8400746733042938,3.8446523983804957,27,27892.55,7254.89514,1,0,0,0,3.0567920568000466,7254.89514,0.025679335884754594,0.014001244555071561,1.6666666666666667
2020-11-04,钻展,nan,86573,2426,2.8022593649290193,28,0.2061005770816158,1.0025891633901562,5,4986.0,4973.12377,1,0,0,0,13.596562438635603,4973.12377,0.028022593649290193,0.011541632316570486,5.6
2020-11-05,钻展,nan,89541,2687,3.000859941255961,18,0.11164867882396724,0.4412,3,2206.0,5000.0,1,0,0,0,26.87770220718256,5000.0,0.03000859941255961,0.006698920729438035,6.0
2020-11-06,钻展,nan,196477,4909,2.4985112761290127,60,0.06111224281931147,0.049992031885659906,3,601.0,12021.915840000001,1,0,0,0,40.883972848391075,12021.915840000001,0.024985112761290125,0.012222448563862294,20.0
2020-11-07,钻展,nan,207116,6177,2.9823866818594413,83,0.04856726566294317,0.00018406818625818538,3,3.0,16298.30804,1,0,0,0,61.407341779485904,16298.308039999998,0.029823866818594412,0.013436943500080945,27.666666666666668
2020-11-08,钻展,nan,218535,6275,2.871393598279452,127,0.03187250996015936,0.00012315777847006544,2,2.0,16239.331569999998,1,0,0,0,90.08997414601781,16239.33157,0.02871393598279452,0.020239043824701194,63.5
2020-11-09,钻展,nan,259978,6290,2.4194354906953666,127,0.6359300476947536,2.4946616489414524,40,53698.36,21525.307859999997,1,0,0,0,3.804562309118464,21525.307859999997,0.024194354906953666,0.020190779014308425,3.175
2020-11-10,钻展,nan,177034,6725,3.798705333438775,177,1.5464684014869887,4.058394717283539,104,86218.98000000001,21244.601870000002,1,0,0,0,2.4563743622476695,21244.601870000002,0.037987053334387746,0.026319702602230485,1.7019230769230769
2020-11-11,钻展,nan,224580,7394,3.292367975777006,172,1.785231268596159,5.485273316113522,132,128021.81999999999,23339.187059999997,1,0,0,0,1.8442249100678167,23339.187059999997,0.03292367975777006,0.023262104408980255,1.303030303030303
2020-11-12,钻展,nan,1687,93,5.512744516893894,0,0.0,0.0,0,0.0,260.34776,1,0,0,0,0.0,0.0,0.05512744516893894,0.0,0.0
2020-11-24,钻展,nan,22314,529,2.3707089719458634,11,0.3780718336483932,1.6245454545454545,2,1787.0,1100.0,1,0,0,0,6.2705252307968085,1100.0,0.023707089719458636,0.020793950850661626,5.5
2020-11-25,钻展,nan,32896,816,2.480544747081712,11,0.12254901960784313,0.9890909090909091,1,1088.0,1100.0,1,0,0,0,20.241245136186773,1100.0,0.02480544747081712,0.013480392156862746,11.0
2020-11-26,钻展,nan,16416,419,2.5523879142300196,7,0.7159904534606205,10.461666666666666,3,6277.0,600.0,1,0,0,0,3.5648351202079276,600.0,0.025523879142300195,0.016706443914081145,2.3333333333333335
2020-11-27,钻展,nan,14828,378,2.549231184246021,5,1.3227513227513228,24.117383333333333,5,14470.43,600.0,1,0,0,0,1.9272187752899919,600.0,0.02549231184246021,0.013227513227513227,1.0
2020-11-28,钻展,nan,16606,536,3.2277490063832346,2,0.3731343283582089,11.528333333333334,2,6917.0,600.0,1,0,0,0,8.650367337107069,600.0,0.03227749006383235,0.0037313432835820895,1.0
2020-11-29,钻展,nan,21807,616,2.82478103361306,5,0.0,0.0,0,0.0,600.0,1,0,0,0,0.0,0.0,0.0282478103361306,0.008116883116883116,0.0
2020-11-30,钻展,nan,22847,621,2.718081148509651,1,0.1610305958132045,1.5983333333333334,1,959.0,600.0,1,0,0,0,16.879283932244935,600.0,0.02718081148509651,0.001610305958132045,1.0
2020-12-01,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-02,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-03,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-04,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-05,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-06,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-07,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-08,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-09,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-10,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-11,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
2020-12-12,钻展,nan,0,0,nan,0,nan,nan,0,0.0,0.0,1,0,0,0,nan,nan,0.0,0.0,0.0
